Year;Reserve;frag;Site;Fragsize;#leaves sampled;abunperha;mean abun;maxabun;Radflac;Cololejeunea surinamensis;R flaccida absabun;R flaccida relabun;C surinamensis absabun;C surinamensis relabun
2000;Porto alegre;1 ha;;Small;43;104;3.28;20;20;17;46.51;1;39.53;0.85
2000;Dimona;1 ha;2108;Small;16;35;1.4;8;7;8;43.75;0.875;50;1
2000;Dimona;1 ha;2107;Small;11;43;1.72;11;11;0;100;1;0;0
2000;Porto alegre;10 ha;3209.4;Small;48;104;4.16;23;23;17;47.91;1;35.42;0.739130435
2000;Dimona;10 ha;2206;Small;28;73;8.76;17;14;17;50;0.823529412;60.71;1
2000;Colosso;10 ha;1202.5;Small;19;101;7.77;16;16;10;84.21;1;52.63;0.625
2000;Colosso;10 ha;1202.3;Small;27;148;6.17;17;17;7;62.96;1;25.92;0.411764706
2000;Dimona;100 ha;2303.9;Large;87;417;34.75;59;53;59;60.92;0.898305085;67.82;1
2000;Porto alegre;100 ha;3304.8;Large;43;215;21.5;30;30;21;69.77;1;48.84;0.7
2000;Porto alegre;100 ha;3304.7;Large;102;448;29.87;75;75;34;73.53;1;33.33;0.453333333
2000;Dimona;100 ha;2303;Large;78;1385;55.4;54;54;29;69.23;1;37.18;0.537037037
2000;Dimona;100 ha;2303.6;Large;45;613;51.08;36;14;36;31.11;0.388888889;80;1
2000;Porto alegre;100 ha;3304.1;Large;7;68;5.67;4;4;3;57.14;1;42.86;0.75
2000;Florestal;Cont;1301.6;Large;33;534;41.08;21;19;21;57.57;0.904761905;63.64;1
2000;Florestal;Cont;1301.2;Large;54;NA;NA;47;29;14;53.7;0.617021277;25.92;0.29787234
2000;Florestal;Cont;1301.4;Large;40;290;24.17;25;14;21;35;0.56;52.5;0.84
2000;Gaviao;Cont;1201.2;Large;59;433;36.08;38;38;34;64.41;1;57.63;0.894736842
2000;Gaviao;Cont;1101;Large;45;741;67.36;28;21;25;46.67;0.75;55.55;0.892857143
2000;Cabo frio;Cont;3402.7;Large;40;236;18.15;21;20;9;50;0.952380952;22.5;0.428571429
2000;Cabo frio;Cont;3402.9;Large;33;239;18.38;22;22;11;66.67;1;33.33;0.5
2000;Km 41;Cont;K41;Large;46;687;52.84;31;31;27;67.39;1;58.69;0.870967742
2016;Porto alegre;1 ha;;Small;65;228;3.16;50;35;50;53.85;0.7;76.92;1
2016;Dimona;1 ha;2107;Small;43;99;3.96;30;30;29;69.77;1;67.44;0.966666667
2016;Dimona;1 ha;2106;Small;42;172;6.88;41;41;22;97.62;1;52.38;0.536585366
2016;Colosso;1 ha;;Small;59;115;4.6;47;20;47;33.9;0.425531915;79.66;1
2016;Porto alegre 3304.3;10 ha;3209.5;Small;104;450;18;87;47;87;45.19;0.540229885;83.65;1
2016;Colosso;10 ha;5;Small;76;359;27.61;61;57;46;75;0.93442623;60.53;0.754098361
2016;Colosso;10 ha;3;Small;92;494;19.76;72;59;72;64.13;0.819444444;78.26;1
2016;Dimona;10 ha;c;Small;77;397;30.54;59;58;49;75.32;0.983050847;63.64;0.830508475
2016;Dimona;10 ha;2206-4;Small;34;155;6.2;28;23;28;67.65;0.821428571;82.35;1
2016;Porto alegre;100 ha;3304.9;Large;80;372;26.57;75;40;75;50;0.533333333;93.75;1
2016;Porto alegre;100 ha;3304.7;Large;121;593;23.72;92;90;57;74.38;0.97826087;47.11;0.619565217
2016;Porto alegre;100 ha;3304.3;Large;108;587;23.48;92;68;92;62.96;0.739130435;85.18;1
2016;Dimona;100 ha;1;Large;77;994;39.76;66;41;51;53.25;0.621212121;66.23;0.772727273
2016;Dimona;100 ha;8;Large;56;237;9.48;49;33;49;58.93;0.673469388;87.5;1
2016;Dimona;100 ha;6;Large;40;392;30.15;36;18;36;45;0.5;90;1
2016;Cabo frio;Cont;1;Large;106;471;36.23;92;42;63;39.62;0.456521739;59.43;0.684782609
2016;Cabo frio;Cont;3;Large;70;416;32;52;43;52;61.43;0.826923077;74.28;1
2016;Cabo frio;Cont;9;Large;78;550;42.31;52;45;41;57.69;0.865384615;52.56;0.788461538
2016;Florestal;Cont;8;Large;82;876;67.36;71;49;57;59.76;0.690140845;69.51;0.802816901
2016;Florestal;Cont;6;Large;97;907;69.77;86;51;73;52.58;0.593023256;75.26;0.848837209
2016;Florestal;Cont;7;Large;77;597;45.92;60;48;60;62.34;0.8;77.92;1
2016;Dimona;Cont;2;Large;63;735;56.54;56;34;42;53.97;0.607142857;66.67;0.75
2016;Dimona;Cont;1;Large;39;287;22.08;35;35;34;89.74;1;87.18;0.971428571
2016;Dimona;Cont;3;Large;69;562;43.23;55;55;30;79.71;1;43.48;0.545454545
